acc	E
1E-10	-0.499975107048968
1E-09	-0.499975107025136
1E-08	-0.499975107018768
1E-07	-0.499975107063282
1E-06	-0.499975106981664
1E-05	-0.499975105819654
0.0001	-0.49997508454667
0.001	-0.499974969036463
0.01	-0.499987480945469
0.1	-0.500371522292976
1	-0.50484315734202
10	-0.51359736909566
100	-0.51359736909566
