eps	E
1E-10	-0.499975106984788
1E-09	-0.499975106974889
1E-08	-0.499975106989654
1E-07	-0.499975106986075
1E-06	-0.499975106981664
1E-05	-0.499975106984499
0.0001	-0.499975107805165
0.001	-0.499975163280806
0.01	-0.499978722028011
0.1	-0.50012695598551
1	-0.502476226579537
10	-0.509951908144529
100	-0.51359736909566
