rmax	E
1	2.37399051658535
1.5	0.437018036273993
2	-0.125000012594928
2.5	-0.334910436115404
3	-0.423967297707166
3.5	-0.464357129820463
4	-0.483265303334741
4.5	-0.492205532527751
5	-0.496417016350415
5.5	-0.49837813813727
6	-0.499277288172329
6.5	-0.499682714075774
7	-0.499862579433006
7.5	-0.499941194993068
8	-0.499975106981664
8.5	-0.499989557822337
9	-0.499995656347971
9.5	-0.499998206931627
10	-0.499999265269679
