# λ	f(λ)
-56.446980293306	-31.7374864348528
-56.436980293306	-31.7109916138369
-56.426980293306	-31.6844828704878
-56.416980293306	-31.6579601862828
-56.406980293306	-31.6314235426655
-56.396980293306	-31.6048729210461
-56.386980293306	-31.578308302801
-56.376980293306	-31.551729669273
-56.366980293306	-31.5251370017709
-56.356980293306	-31.4985302815699
-56.346980293306	-31.4719094899109
-56.336980293306	-31.4452746080009
-56.326980293306	-31.4186256170129
-56.316980293306	-31.3919624980856
-56.306980293306	-31.3652852323233
-56.296980293306	-31.3385938007961
-56.286980293306	-31.3118881845396
-56.276980293306	-31.2851683645548
-56.266980293306	-31.2584343218085
-56.256980293306	-31.2316860372322
-56.246980293306	-31.2049234917232
-56.236980293306	-31.1781466661436
-56.226980293306	-31.1513555413208
-56.216980293306	-31.1245500980471
-56.206980293306	-31.0977303170798
-56.196980293306	-31.0708961791409
-56.186980293306	-31.0440476649175
-56.176980293306	-31.0171847550609
-56.166980293306	-30.9903074301874
-56.156980293306	-30.9634156708777
-56.146980293306	-30.9365094576768
-56.136980293306	-30.9095887710942
-56.126980293306	-30.8826535916037
-56.116980293306	-30.8557038996433
-56.106980293306	-30.8287396756148
-56.096980293306	-30.8017608998846
-56.086980293306	-30.7747675527824
-56.076980293306	-30.7477596146023
-56.066980293306	-30.7207370656019
-56.056980293306	-30.6936998860025
-56.046980293306	-30.666648055989
-56.036980293306	-30.63958155571
-56.026980293306	-30.6125003652774
-56.016980293306	-30.5854044647664
-56.0069802933061	-30.5582938342155
-55.9969802933061	-30.5311684536265
-55.9869802933061	-30.5040283029642
-55.9769802933061	-30.4768733621565
-55.9669802933061	-30.449703611094
-55.9569802933061	-30.4225190296304
-55.9469802933061	-30.3953195975821
-55.9369802933061	-30.368105294728
-55.9269802933061	-30.3408761008098
-55.9169802933061	-30.3136319955315
-55.9069802933061	-30.2863729585597
-55.8969802933061	-30.2590989695231
-55.8869802933061	-30.2318100080129
-55.8769802933061	-30.2045060535821
-55.8669802933061	-30.1771870857461
-55.8569802933061	-30.149853083982
-55.8469802933061	-30.1225040277289
-55.8369802933061	-30.0951398963877
-55.8269802933061	-30.067760669321
-55.8169802933061	-30.0403663258529
-55.8069802933061	-30.0129568452691
-55.7969802933061	-29.9855322068166
-55.7869802933061	-29.9580923897041
-55.7769802933061	-29.9306373731011
-55.7669802933061	-29.9031671361385
-55.7569802933061	-29.8756816579083
-55.7469802933061	-29.8481809174633
-55.7369802933061	-29.8206648938173
-55.7269802933061	-29.7931335659447
-55.7169802933061	-29.765586912781
-55.7069802933061	-29.7380249132219
-55.6969802933061	-29.7104475461239
-55.6869802933061	-29.6828547903036
-55.6769802933061	-29.6552466245382
-55.6669802933061	-29.6276230275651
-55.6569802933061	-29.5999839780816
-55.6469802933061	-29.5723294547454
-55.6369802933061	-29.5446594361739
-55.6269802933061	-29.5169739009444
-55.6169802933061	-29.489272827594
-55.6069802933061	-29.4615561946195
-55.5969802933061	-29.433823980477
-55.5869802933061	-29.4060761635826
-55.5769802933061	-29.3783127223112
-55.5669802933061	-29.3505336349973
-55.5569802933061	-29.3227388799346
-55.5469802933061	-29.2949284353758
-55.5369802933061	-29.2671022795325
-55.5269802933061	-29.2392603905754
-55.5169802933061	-29.2114027466338
-55.5069802933061	-29.1835293257959
-55.4969802933062	-29.1556401061083
-55.4869802933062	-29.1277350655761
-55.4769802933062	-29.0998141821631
-55.4669802933062	-29.071877433791
-55.4569802933062	-29.0439247983399
-55.4469802933062	-29.0159562536481
-55.4369802933062	-28.9879717775117
