# acc erf1_approximated absolute_error
0.00000001 0.84270079 0.0000000000021316
0.00000001 0.84270079 0.0000000000021617
0.00000001 0.84270079 0.0000000000022151
0.00000001 0.84270079 0.0000000000021818
0.00000001 0.84270079 0.0000000000031263
0.00000002 0.84270079 0.0000000000032185
0.00000002 0.84270079 0.0000000000284353
0.00000002 0.84270079 0.0000000000285231
0.00000002 0.84270079 0.0000000000293420
0.00000002 0.84270079 0.0000000000295007
0.00000003 0.84270079 0.0000000000305656
0.00000003 0.84270079 0.0000000000307149
0.00000003 0.84270079 0.0000000000307009
0.00000003 0.84270079 0.0000000000313169
0.00000004 0.84270079 0.0000000000322339
0.00000004 0.84270079 0.0000000000321846
0.00000005 0.84270079 0.0000000000336746
0.00000005 0.84270079 0.0000000000335406
0.00000006 0.84270079 0.0000000000333755
0.00000006 0.84270079 0.0000000000346850
0.00000007 0.84270079 0.0000000000353264
0.00000007 0.84270079 0.0000000000348656
0.00000008 0.84270079 0.0000000000354716
0.00000009 0.84270079 0.0000000000369715
0.00000010 0.84270079 0.0000000000384226
0.00000011 0.84270079 0.0000000000398194
0.00000012 0.84270079 0.0000000000705788
0.00000013 0.84270079 0.0000000000731569
0.00000014 0.84270079 0.0000000000756735
0.00000016 0.84270079 0.0000000000995151
0.00000017 0.84270079 0.0000000000993458
0.00000019 0.84270079 0.0000000000990932
0.00000021 0.84270079 0.0000000000983368
0.00000023 0.84270079 0.0000000001290309
0.00000026 0.84270079 0.0000000001277702
0.00000028 0.84270079 0.0000000009836053
0.00000031 0.84270079 0.0000000009981058
0.00000034 0.84270079 0.0000000009944262
0.00000037 0.84270079 0.0000000010221579
0.00000041 0.84270079 0.0000000010098656
0.00000045 0.84270079 0.0000000010468809
0.00000050 0.84270079 0.0000000010468809
0.00000055 0.84270079 0.0000000010839540
0.00000060 0.84270079 0.0000000010924628
0.00000066 0.84270079 0.0000000011306261
0.00000073 0.84270079 0.0000000011730691
0.00000080 0.84270079 0.0000000012121653
0.00000088 0.84270079 0.0000000012496461
0.00000097 0.84270079 0.0000000012496461
0.00000107 0.84270079 0.0000000012428963
0.00000117 0.84270079 0.0000000012307957
0.00000129 0.84270079 0.0000000018558072
0.00000142 0.84270079 0.0000000018383217
0.00000156 0.84270079 0.0000000018154801
0.00000172 0.84270080 0.0000000027921720
0.00000189 0.84270080 0.0000000027540792
0.00000208 0.84270080 0.0000000026644366
0.00000229 0.84270080 0.0000000025022793
0.00000252 0.84270080 0.0000000022557282
0.00000277 0.84270082 0.0000000261271128
0.00000304 0.84270082 0.0000000276378759
0.00000335 0.84270082 0.0000000276378759
0.00000368 0.84270082 0.0000000276378759
0.00000405 0.84270082 0.0000000288710946
0.00000446 0.84270082 0.0000000289055307
0.00000490 0.84270082 0.0000000301558130
0.00000539 0.84270082 0.0000000301558130
0.00000593 0.84270082 0.0000000301558130
0.00000653 0.84270082 0.0000000298544106
0.00000718 0.84270082 0.0000000298544106
0.00000790 0.84270082 0.0000000292089886
0.00000869 0.84270082 0.0000000292089886
0.00000956 0.84270082 0.0000000282273814
0.00001051 0.84270082 0.0000000282273814
0.00001156 0.84270082 0.0000000269338364
0.00001272 0.84270085 0.0000000589802895
0.00001399 0.84270085 0.0000000550317703
0.00001539 0.84270085 0.0000000550317703
0.00001693 0.84270085 0.0000000550317703
0.00001862 0.84270085 0.0000000550317703
0.00002048 0.84270085 0.0000000550317703
0.00002253 0.84270085 0.0000000612332258
0.00002479 0.84270089 0.0000001011264420
0.00002726 0.84270089 0.0000001011264420
0.00002999 0.84270089 0.0000001011264420
0.00003299 0.84270089 0.0000001011264420
0.00003629 0.84270089 0.0000001011264420
0.00003992 0.84270088 0.0000000859782973
0.00004391 0.84270088 0.0000000859782973
0.00004830 0.84270088 0.0000000859782973
0.00005313 0.84270088 0.0000000859782973
0.00005844 0.84270084 0.0000000494754920
0.00006429 0.84270084 0.0000000494754920
0.00007072 0.84270129 0.0000004929721880
0.00007779 0.84270122 0.0000004295576912
0.00008557 0.84270122 0.0000004295576912
0.00009412 0.84270122 0.0000004295576912
0.00010354 0.84270122 0.0000004295576912
0.00011389 0.84270245 0.0000016557597312
0.00012528 0.84270245 0.0000016557597312
0.00013781 0.84270245 0.0000016557597312
0.00015159 0.84270245 0.0000016557597312
0.00016675 0.84273269 0.0000319010571596
0.00018342 0.84273269 0.0000319010571596
0.00020176 0.84273269 0.0000319010571596
0.00022194 0.84273269 0.0000319010571596
0.00024413 0.84273269 0.0000319010571596
0.00026855 0.84273269 0.0000319010571596
0.00029540 0.84273186 0.0000310682680578
0.00032494 0.84273186 0.0000310682680578
0.00035743 0.84273186 0.0000310682680578
0.00039318 0.84273186 0.0000310682680578
0.00043249 0.84272996 0.0000291655374838
0.00047574 0.84272996 0.0000291655374838
0.00052332 0.84272996 0.0000291655374838
0.00057565 0.84272996 0.0000291655374838
0.00063322 0.84272996 0.0000291655374838
0.00069654 0.84272996 0.0000291655374838
0.00076619 0.84272996 0.0000291655374838
0.00084281 0.84272996 0.0000291655374838
0.00092709 0.84272996 0.0000291655374838
0.00101980 0.84272996 0.0000291655374838
0.00112178 0.84272996 0.0000291655374838
0.00123396 0.84272996 0.0000291655374838
0.00135735 0.84272996 0.0000291655374838
0.00149309 0.84272996 0.0000291655374838
0.00164240 0.84272996 0.0000291655374838
0.00180664 0.84272996 0.0000291655374838
0.00198730 0.84272996 0.0000291655374838
0.00218603 0.84268383 0.0000169630810094
0.00240463 0.84268383 0.0000169630810094
0.00264510 0.84268383 0.0000169630810094
0.00290961 0.84268383 0.0000169630810094
0.00320057 0.84268383 0.0000169630810094
0.00352063 0.84268383 0.0000169630810094
0.00387269 0.84268383 0.0000169630810094
0.00425996 0.84268383 0.0000169630810094
0.00468595 0.84268383 0.0000169630810094
0.00515455 0.84268383 0.0000169630810094
0.00567000 0.84251037 0.0001904253056616
0.00623700 0.84251037 0.0001904253056616
0.00686070 0.84251037 0.0001904253056616
0.00754677 0.84251037 0.0001904253056616
0.00830145 0.84251037 0.0001904253056616
0.00913160 0.84251037 0.0001904253056616
0.01004475 0.84251037 0.0001904253056616
0.01104923 0.84251037 0.0001904253056616
0.01215415 0.84251037 0.0001904253056616
0.01336957 0.84251037 0.0001904253056616
0.01470653 0.84251037 0.0001904253056616
0.01617718 0.84251037 0.0001904253056616
0.01779490 0.84251037 0.0001904253056616
0.01957439 0.84251037 0.0001904253056616
0.02153182 0.84251037 0.0001904253056616
0.02368501 0.84251037 0.0001904253056616
0.02605351 0.84251037 0.0001904253056616
0.02865886 0.84251037 0.0001904253056616
0.03152474 0.84251037 0.0001904253056616
0.03467722 0.84251037 0.0001904253056616
0.03814494 0.84251037 0.0001904253056616
0.04195943 0.84251037 0.0001904253056616
0.04615538 0.84251037 0.0001904253056616
0.05077092 0.84251037 0.0001904253056616
0.05584801 0.84251037 0.0001904253056616
0.06143281 0.84251037 0.0001904253056616
0.06757609 0.84251037 0.0001904253056616
0.07433370 0.84251037 0.0001904253056616
0.08176707 0.84251037 0.0001904253056616
0.08994377 0.84251037 0.0001904253056616
0.09893815 0.84251037 0.0001904253056616
